Dates,Option Prices
22/08/2022 00:00:00,1.066649511200773
23/08/2022 00:00:00,1.0977469046088864
24/08/2022 00:00:00,1.2177410308488656
25/08/2022 00:00:00,1.1904415127751442
26/08/2022 00:00:00,1.3180500119412932
29/08/2022 00:00:00,1.308124121310789
30/08/2022 00:00:00,1.206080719263059
31/08/2022 00:00:00,1.1885627788271587
01/09/2022 00:00:00,1.2117156394804776
02/09/2022 00:00:00,1.3708506300221295
05/09/2022 00:00:00,1.4119175137800937
06/09/2022 00:00:00,1.4798981899591688
07/09/2022 00:00:00,1.5173205210299379
08/09/2022 00:00:00,1.538937711182874
09/09/2022 00:00:00,1.5488443626150694
12/09/2022 00:00:00,1.623224550457025
